i_time,local_time,Stand 13_Torque,Stand 14_Torque,Stand 15_Torque,Stand 16_Torque,Stand 17_Torque,Stand 13_LineSpeed,Stand 13_RPM,Stand 14_LineSpeed,Stand 14_RPM,Stand 15_LineSpeed,Stand 15_RPM,Stand 16_LineSpeed,Stand 16_RPM,Stand 17_LineSpeed,Stand 17_RPM,Stand 18_LineSpeed,Stand 18_RPM,Loop_Height Stand 12-13,Loop_Height Stand 13-14,Loop_Height Stand 14-15,Loop_HeightStand 15-16,Loop_Height Stand 16-17,Loop_Height Stand 17-18,Stand 13 downstream looper lifting command,Stand 14 downstream looper lifting command,Stand 15 downstream looper lifting command,Stand 16 downstream looper lifting command,Stand 17 downstream looper lifting command,Ghost Rolling,STAND_13_ACT_ELONGATION,STAND_14_ACT_ELONGATION,STAND_15_ACT_ELONGATION,STAND_16_ACT_ELONGATION,STAND_17_ACT_ELONGATION,STAND_18_ACT_ELONGATION,Stand 16 current,Stand 18 current,Master speed percentage,Stand 13 current,Stand 14 current,Stand 15 current,Stand 17 current
2024-05-28 07:20:58,2024-05-28 12:50:58,16.504854,4.8737864,42.31068,32.4466,39.53398,1008.18445,1653.6893,1089.301,1540.3204,1254.9708,1381.5923,1428.3883,1461.3593,1726.2524,1272.6602,2023.3981,1316.068,26.815138,23.732258,19.04352,21.303967,19.940529,18.251724,t,t,t,t,t,f,1.128,1.081,1.152,1.138,1.208,1.172,383.72815,623.16504,89,318.7961,315.2233,560.8738,751.9709
2024-05-28 07:20:59,2024-05-28 12:50:59,16.39604,4.5940595,43.0297,32.465347,40.12871,1006.0099,1650.0792,1086.802,1536.6139,1252.4752,1378.7426,1427.0099,1459.8713,1725.8911,1272.3268,2022.8218,1315.6832,27.427763,24.495049,20.170603,22.821714,20.758617,18.836216,t,t,t,t,t,f,1.128,1.081,1.152,1.138,1.208,1.172,387.53467,624.4257,89,326.67328,325.099,564.21783,759.21783
2024-05-28 07:21:00,2024-05-28 12:51:00,16.576923,4.7115383,43.557693,32.451923,40.307693,1000.8077,1641.4712,1081.2788,1528.875,1247.3654,1373.2307,1423.4038,1456.1827,1723.2596,1270.4423,2020.6057,1314.1635,27.744112,25.052546,21.085531,23.81208,21.327747,19.399673,t,t,t,t,t,f,1.128,1.081,1.152,1.138,1.208,1.172,386.79807,628.2789,89,330.84616,332.40384,567.75,763.71155
2024-05-28 07:21:01,2024-05-28 12:51:01,17.87255,5.6764708,44.088234,32.558823,40.539215,997.36273,1635.9803,1078.402,1524.8137,1244.6765,1370.2059,1421.8922,1454.696,1722.9412,1270.2843,2020.5197,1314.1274,28.092304,25.354046,21.431236,24.069218,21.460686,19.390266,t,t,t,t,t,f,1.128,1.081,1.152,1.138,1.208,1.172,386.16666,631.34314,89,333.7647,330.82352,580.64703,762.41174
2024-05-28 07:21:02,2024-05-28 12:51:02,17.914286,5.2285714,44.38095,33.15238,40.50476,995.5619,1632.9524,1076.3239,1521.9333,1243.6,1369.1047,1421.5238,1454.3619,1723.1333,1270.3334,2020.9619,1314.4,28.111176,25.401207,21.550184,23.929945,21.367655,19.198393,t,t,t,t,t,f,1.128,1.081,1.152,1.138,1.208,1.172,387.73334,626.1619,89,329.57144,330.4,580.81903,766.1429
2024-05-28 07:21:03,2024-05-28 12:51:03,17.951456,5.6893206,44.08738,32.932037,40.640778,994.1359,1630.6699,1074.8835,1519.8738,1243.0486,1368.4951,1420.932,1453.6407,1722.4661,1269.8835,2020.1068,1313.903,28.631134,25.405989,21.380949,23.385937,21.09276,19.039886,t,t,t,t,t,f,1.128,1.081,1.152,1.138,1.208,1.172,385.17474,628.23303,89,330.62137,327.91263,574.31067,765.69904
2024-05-28 07:21:04,2024-05-28 12:51:04,16.79208,5.7722774,44.50495,33.089108,41.049503,992.1881,1627.3564,1073.4059,1517.703,1241.7822,1367.0792,1420.1287,1452.8317,1721.9208,1269.4059,2019.3069,1313.3564,14.926922,25.793613,21.580835,23.251244,20.885141,18.923058,t,t,t,t,t,f,1.128,1.081,1.152,1.138,1.208,1.172,390.0297,630.198,89,331.54456,331.75247,580.51483,772.7723
2024-05-28 07:21:05,2024-05-28 12:51:05,12.365385,7.048077,44.10577,31.557692,40.423077,998.3173,1637.4807,1066.5577,1508.1827,1237.625,1362.5385,1419.9904,1452.6923,1722.7788,1270.0769,2020.4231,1314.1443,89.18629,45.449078,17.457773,21.130096,21.233053,18.964317,t,t,t,t,t,f,1.128,1.081,1.152,1.138,1.208,1.172,379.7596,629.2019,89,335.93268,422.55768,577.0481,763.6731
2024-05-28 07:21:06,2024-05-28 12:51:06,7.7352943,2.5392158,18.441177,22.59804,37.7549,1027.304,1685.0392,1090.4412,1541.9509,1259.1177,1386.1274,1422.3922,1455.3137,1722.2059,1269.6078,2018.5,1312.7646,125.4043,125.85832,113.8637,75.16463,34.424126,4.7569094,f,f,f,t,f,f,1.128,1.081,1.152,1.138,1.208,1.172,345.82352,632.12744,89,289.60785,322.88235,408.44116,751.2941
2024-05-28 07:21:07,2024-05-28 12:51:07,1.2095238,5.047619,5.9333334,7.285714,0.51428574,1048.1809,1719.3143,1129.981,1597.7715,1288.5143,1418.6,1441.7428,1475.019,1728.3524,1274.2476,2033.4572,1322.5143,125.38335,125.85915,125.41565,126.51351,118.828354,99.497406,f,f,f,f,f,f,1.128,1.081,1.152,1.138,1.208,1.172,264.91428,476,89,213.38095,343.9238,298.93332,453.44763
